Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
1,Manny Acta,6,2007,2012,372,518,0.418,0,-146,890,0,0,,2,5,4.1,8,0,0,0,0,,
2,Bill Adair,1,1970,1970,4,6,0.4,0,-2,10,0,0,,6,6,6,0,0,0,0,0,,
3,Joe Adcock,1,1967,1967,75,87,0.463,0,-12,162,0,0,,8,8,8,3,0,0,0,0,as player,
4,Bob Addy,2,1875,1877,8,23,0.258,0,-15,31,0,0,,5,6,5.8,0,0,0,0,0,as player,plyr/mgr: 1875-1877
5,Bob Allen,2,1890,1900,87,87,0.5,5,0,179,0,0,,3,7,6.2,0,0,0,0,0,as player,plyr/mgr: 1890-1900
6,Newt Allen,1,1941,1941,34,13,0.723,0,21,47,0,0,,1,1,1,,1,0,1,0,as player,
7,Todd Allen,1,1925,1925,17,53,0.243,0,-36,70,0,0,,8,8,8,,0,0,0,0,as player,
8,Doug Allison,1,1873,1873,2,21,0.087,0,-19,23,0,0,,8,8,8,0,0,0,0,0,as player,
9,Sandy Alomar,1,2012,2012,3,3,0.5,0,0,6,0,0,,4,4,4,0,0,0,0,0,as player,
10,Felipe Alou,14,1992,2006,1033,1021,0.503,1,12,2055,1,3,0.25,1,5,2.9,18,1,0,0,1,as player,
11,Walter Alston HOF,23,1954,1976,2040,1613,0.558,5,427,3658,23,21,0.523,1,8,2.9,37,7,4,7,9,as player,
12,Joe Altobelli,7,1977,1991,437,407,0.518,0,30,844,7,2,0.778,1,5,3.4,18,1,1,1,1,as player,
13,Joey Amalfitano,3,1979,1981,66,116,0.363,3,-50,185,0,0,,5,6,5.7,1,0,0,0,0,as player,
14,Sparky Anderson HOF,26,1970,1995,2194,1834,0.545,2,360,4030,34,21,0.618,1,7,2.9,56,7,3,5,5,as player,
15,Cap Anson HOF,21,1875,1898,1295,947,0.578,46,348,2288,5,7,0.417,1,9,4,7,0,0,5,0,as player,plyr/mgr: 1875-1897
16,Luke Appling HOF,1,1967,1967,10,30,0.25,0,-20,40,0,0,,10,10,10,0,0,0,0,0,as player,
17,Bill Armour,5,1902,1906,382,347,0.524,7,35,736,0,0,,3,6,4.2,3,0,0,0,0,,
18,Ken Aspromonte,3,1972,1974,220,260,0.458,0,-40,480,0,0,,4,6,5,6,0,0,0,0,as player,
19,Brad Ausmus,5,2014,2019,386,422,0.478,0,-36,808,0,3,0,1,5,3.4,17,1,0,0,0,as player,
20,Jimmy Austin,3,1913,1923,31,44,0.413,0,-13,75,0,0,,5,8,5.3,1,0,0,0,0,as player,plyr/mgr: 1913-1923
21,Del Baker,9,1933,1960,419,360,0.538,6,59,785,3,4,0.429,1,7,3.6,2,1,0,1,1,as player,
22,Dusty Baker,25,1993,2022,2093,1790,0.539,1,303,3884,51,46,0.526,1,6,2.4,25,12,1,3,2,as player,
23,Rocco Baldelli,4,2019,2022,288,258,0.527,0,30,546,0,5,0,1,5,2.8,11,2,0,0,0,as player,
24,George Bamberger,7,1978,1986,458,478,0.489,0,-20,936,0,0,,2,6,4.5,21,0,0,0,0,as player,
25,Dave Bancroft HOF,4,1924,1927,249,363,0.407,3,-114,615,0,0,,5,8,6.8,7,0,0,0,0,as player,plyr/mgr: 1924-1927
26,Frank Bancroft,9,1880,1902,375,333,0.53,10,42,718,3,0,1,1,7,4.2,0,0,1,1,0,,
27,Jeff Banister,4,2015,2018,325,313,0.509,0,12,638,2,6,0.25,1,5,2.5,16,2,0,0,0,as player,
28,Rod Barajas,1,2019,2019,1,7,0.125,0,-6,8,0,0,,5,5,5,0,0,0,0,0,as player,
29,Marvin Barker,4,1945,1948,52,147,0.261,5,-95,204,0,0,,6,6,6,,0,0,0,0,as player,
30,Sam Barkley,1,1888,1888,21,36,0.368,1,-15,58,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1888
31,Billy Barnie,14,1883,1898,632,810,0.438,35,-178,1477,0,0,,3,12,7,0,0,0,0,0,as player,plyr/mgr: 1883-1886
32,Bernardo Baró,1,1927,1927,12,14,0.462,1,-2,27,0,0,,3,3,3,,0,0,0,0,as player,
33,Ed Barrow HOF,5,1903,1920,310,320,0.492,9,-10,639,4,2,0.667,1,7,4.7,1,1,1,1,0,,
34,Jack Barry,1,1917,1917,90,62,0.592,5,28,157,0,0,,2,2,2,2,0,0,0,0,as player,plyr/mgr: 1917
35,Joe Battin,2,1883,1884,9,23,0.281,0,-14,32,0,0,,5,10,7.8,0,0,0,0,0,as player,plyr/mgr: 1883-1884
36,Hank Bauer,8,1961,1969,594,544,0.522,1,50,1139,4,0,1,1,9,4.5,14,1,1,1,1,as player,plyr/mgr: 1961
37,Don Baylor,9,1993,2002,627,689,0.476,0,-62,1316,1,3,0.25,2,6,3.9,12,1,0,0,0,as player,
38,Tony Beasley,1,2022,2022,17,31,0.354,0,-14,48,0,0,,4,4,4,0,0,0,0,0,,
39,John Beckwith,3,1925,1932,63,53,0.543,1,10,117,0,0,,2,5,2.5,,0,0,0,0,as player,
40,Buddy Bell,9,1996,2007,519,724,0.418,0,-205,1243,0,0,,3,5,4.6,42,0,0,0,0,as player,
41,David Bell,4,2019,2022,251,295,0.46,0,-44,546,0,2,0,2,4,3.5,20,1,0,0,0,as player,
42,William Bell,3,1935,1948,59,76,0.437,4,-17,139,0,0,,3,8,4.6,,0,0,0,0,as player,
43,Vern Benson,1,1977,1977,1,0,1,0,1,1,0,0,,6,6,6,0,0,0,0,0,as player,
44,Yogi Berra HOF,7,1964,1985,484,444,0.522,2,40,930,9,10,0.474,1,5,2.6,13,2,0,2,1,as player,
45,Terry Bevington,3,1995,1997,222,214,0.509,1,8,437,0,0,,2,3,2.3,8,0,0,0,0,,
46,Hugo Bezdek,3,1917,1919,166,187,0.47,3,-21,356,0,0,,4,8,5,7,0,0,0,0,,
