last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Burnes, Corbin,669203,96.1,96.3,95,88.2,90.3,81.6,,
Cole, Gerrit,543037,97.8,,92,88.7,89.7,83,,
Alcantara, Sandy,645261,98,97.8,,90,91.8,86.2,,
Mikolas, Miles,571945,93.5,93,,87.7,82.7,76.2,,
Cease, Dylan,656302,96.8,96.5,,87.4,77.9,81.1,,
Wainwright, Adam,425794,88,88.6,84.3,,82.2,72.9,,
Pivetta, Nick,601713,93.4,,,85.8,87.1,77.2,,
Kelly, Merrill,518876,92.6,92.6,90.9,85,88.6,82.2,,
Ray, Robbie,592662,93.4,93.3,,87.2,86.9,79.7,,
Nola, Aaron,605400,92.8,92.2,86.8,,85.9,78.6,,
Valdez, Framber,664285,94.1,93.9,83,,88.7,79.1,,
Gilbert, Logan,669302,96.1,94.7,,86.9,86.2,80.8,,
Webb, Logan,657277,92.4,91.8,,82.5,86.4,,,
Lyles, Jordan,543475,91.8,90.8,84.8,80,86.3,79.1,,
Rodón, Carlos,607074,95.5,,,85.4,84.6,79.8,,
Pérez, Martín,527048,92.7,92.6,89.8,84.4,84.4,78.8,,
Darvish, Yu,506433,95,94.7,86.5,82.3,,72.7,89.2,
Manoah, Alek,666201,93.9,93.3,,81.5,86.5,,,
Gallen, Zac,668678,94.1,94.7,89.9,86.7,86.2,81.6,,
Quantrill, Cal,615698,93.4,93.6,88.5,,85.3,82.7,,
López, Pablo,641154,93.5,93.4,88.7,,87.5,80.9,,
Morton, Charlie,450203,94.9,94.7,88.4,,87.2,81.3,,
Bassitt, Chris,605135,93.2,92.8,89.1,78.9,85.4,71.6,,
Bieber, Shane,669456,91.3,,86.9,85,86.4,82,,
Freeland, Kyle,607536,90.3,89.6,,85.5,84.8,80.9,,
Márquez, Germán,608566,95.6,95.1,,87.7,87.8,86.5,,
Gonzales, Marco,594835,88.4,,86.1,,79.4,76.6,,
Musgrove, Joe,605397,92.9,92.4,90.1,82.9,86.5,81.3,,
Fried, Max,608331,94,93.6,,87.3,86.5,74.3,,
