last_name, first_name,full_name,player_id,name_abbrev,team_id,position_name,age,bat_side,time_at_00ft,time_at_05ft,time_at_10ft,time_at_15ft,time_at_20ft,time_at_25ft,time_at_30ft,time_at_35ft,time_at_40ft,time_at_45ft,time_at_50ft,time_at_55ft,time_at_60ft,time_at_65ft,time_at_70ft,time_at_75ft,time_at_80ft,time_at_85ft,time_at_90ft
Abrams, CJ, CJ Abrams,682928,WSH,120,SS,21,L,0,0.53,0.82,1.07,1.3,1.51,1.71,1.9,2.09,2.27,2.44,2.62,2.79,2.95,3.12,3.29,3.45,3.63,3.82
Abreu, José, José Abreu,547989,CWS,145,1B,35,R,0,0.57,0.92,1.2,1.45,1.68,1.9,2.11,2.32,2.52,2.71,2.9,3.09,3.27,3.46,3.64,3.83,4.02,4.22
Acuña Jr., Ronald, Ronald Acuña Jr.,660670,ATL,144,RF,24,R,0,0.54,0.85,1.1,1.33,1.54,1.74,1.93,2.12,2.3,2.48,2.65,2.82,2.99,3.16,3.32,3.49,3.65,3.82
Adames, Willy, Willy Adames,642715,MIL,158,SS,26,R,0,0.56,0.88,1.14,1.39,1.61,1.82,2.02,2.21,2.4,2.59,2.77,2.94,3.12,3.29,3.47,3.64,3.81,3.99
Adams, Riley, Riley Adams,656180,WSH,120,C,26,R,0,0.56,0.89,1.16,1.41,1.64,1.86,2.07,2.27,2.47,2.66,2.86,3.04,3.23,3.42,3.6,3.79,3.97,4.17
Adell, Jo, Jo Adell,666176,LAA,108,LF,23,R,0,0.55,0.85,1.11,1.34,1.55,1.75,1.94,2.13,2.31,2.48,2.65,2.82,2.99,3.15,3.31,3.47,3.64,3.81
Adrianza, Ehire, Ehire Adrianza,501303,ATL,144,3B,32,R,0,0.57,0.9,1.16,1.41,1.63,1.84,2.04,2.24,2.43,2.62,2.81,2.99,3.17,3.35,3.53,3.71,3.89,4.08
Adrianza, Ehire, Ehire Adrianza,501303,ATL,144,3B,32,L,0,0.56,0.86,1.12,1.35,1.57,1.78,1.98,2.17,2.36,2.55,2.73,2.92,3.1,3.28,3.47,3.65,3.84,4.04
Aguilar, Jesús, Jesús Aguilar,542583,BAL,110,1B,32,R,0,0.59,0.96,1.26,1.54,1.79,2.02,2.25,2.47,2.68,2.89,3.09,3.29,3.5,3.69,3.89,4.09,4.3,4.51
Ahmed, Nick, Nick Ahmed,605113,AZ,109,SS,32,R,0,0.57,0.9,1.17,1.41,1.64,1.85,2.06,2.26,2.45,2.64,2.82,3,3.18,3.36,3.54,3.72,3.89,4.07
Alberto, Hanser, Hanser Alberto,593643,LAD,119,2B,29,R,0,0.56,0.89,1.16,1.41,1.65,1.87,2.08,2.28,2.48,2.68,2.87,3.06,3.26,3.45,3.64,3.83,4.02,4.23
Albies, Ozzie, Ozzie Albies,645277,ATL,144,2B,25,L,0,0.53,0.83,1.08,1.31,1.53,1.73,1.93,2.12,2.3,2.48,2.66,2.83,3.01,3.18,3.35,3.52,3.7,3.89
Albies, Ozzie, Ozzie Albies,645277,ATL,144,2B,25,R,0,0.54,0.86,1.11,1.34,1.56,1.76,1.96,2.15,2.33,2.51,2.69,2.87,3.04,3.22,3.39,3.57,3.75,3.93
Alcántara, Sergio, Sergio Alcántara,642727,AZ,109,3B,25,L,0,0.54,0.85,1.11,1.35,1.57,1.79,1.99,2.18,2.37,2.56,2.75,2.93,3.11,3.28,3.46,3.63,3.81,4.01
Alcántara, Sergio, Sergio Alcántara,642727,AZ,109,3B,25,R,0,0.56,0.89,1.17,1.41,1.64,1.85,2.06,2.25,2.45,2.63,2.82,3,3.17,3.35,3.52,3.7,3.88,4.07
Alfaro, Jorge, Jorge Alfaro,595751,SD,135,C,29,R,0,0.56,0.89,1.16,1.4,1.62,1.83,2.03,2.23,2.41,2.6,2.78,2.96,3.13,3.3,3.48,3.64,3.81,3.99
Allen, Greg, Greg Allen,656185,PIT,134,LF,29,R,0,0.55,0.86,1.12,1.36,1.58,1.79,1.98,2.17,2.36,2.54,2.72,2.89,3.07,3.24,3.41,3.58,3.75,3.93
Allen, Nick, Nick Allen,669397,OAK,133,SS,23,R,0,0.54,0.86,1.12,1.36,1.58,1.79,2,2.19,2.39,2.57,2.76,2.94,3.12,3.3,3.48,3.66,3.84,4.03
Almora Jr., Albert, Albert Almora Jr.,546991,CIN,113,RF,28,R,0,0.56,0.89,1.16,1.41,1.63,1.85,2.05,2.25,2.44,2.63,2.81,3,3.17,3.35,3.53,3.7,3.88,4.06
Alonso, Pete, Pete Alonso,624413,NYM,121,1B,27,R,0,0.56,0.9,1.18,1.43,1.67,1.89,2.1,2.31,2.51,2.71,2.91,3.1,3.29,3.48,3.67,3.86,4.06,4.26
Altuve, Jose, Jose Altuve,514888,HOU,117,2B,32,R,0,0.55,0.86,1.11,1.34,1.55,1.75,1.94,2.12,2.3,2.47,2.64,2.81,2.98,3.15,3.31,3.48,3.64,3.81
Alvarez, Yordan, Yordan Alvarez,670541,HOU,117,DH,25,L,0,0.56,0.87,1.14,1.38,1.6,1.81,2.01,2.21,2.4,2.58,2.76,2.94,3.12,3.29,3.47,3.65,3.83,4.03
Anderson, Brian, Brian Anderson,605119,MIA,146,3B,29,R,0,0.56,0.88,1.15,1.4,1.62,1.83,2.04,2.23,2.43,2.61,2.8,2.98,3.16,3.34,3.52,3.7,3.88,4.08
Anderson, Tim, Tim Anderson,641313,CWS,145,SS,29,R,0,0.55,0.87,1.12,1.35,1.57,1.77,1.96,2.15,2.33,2.51,2.68,2.85,3.02,3.19,3.36,3.53,3.7,3.88
