PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,HRHR,RBIRBI,BBBB,SOSO,caret-upcaret-downSBcaret-upcaret-downSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS

1HughH NicolNicolX1‌‌‌
1887,CIN,125,475,122,102,18,2,1,34,86,,138,--,.215,.341,.267,.608
2RickeyR HendersonHendersonLF2‌‌‌
1982,OAK,149,536,119,143,24,4,10,51,116,94,130,42,.267,.398,.382,.780
3ArlieA LathamLatham3B3‌‌‌
1887,STL,136,627,163,198,35,10,2,83,45,,129,--,.316,.366,.413,.779
4LouL BrockBrockLF4‌‌‌
1974,STL,153,635,105,194,25,7,3,48,61,88,118,33,.306,.368,.381,.749
5CharlieC ComiskeyComiskey1B5‌‌‌
1887,STL,125,538,139,180,22,5,4,103,27,,117,--,.335,.374,.416,.790
6BillyB HamiltonHamiltonX6‌‌‌
1891,PHI,133,527,141,179,23,7,2,60,102,28,111,--,.340,.453,.421,.874
6BillyB HamiltonHamiltonX6‌‌‌
1889,KC,137,534,144,161,17,12,3,77,87,41,111,--,.301,.413,.395,.808
6JohnJ WardWardSS6‌‌‌
1887,NYG,129,545,114,184,16,5,1,53,29,12,111,--,.338,.375,.391,.766
9VinceV ColemanColemanLF9‌‌‌
1985,STL,151,636,107,170,20,10,1,40,50,115,110,25,.267,.320,.335,.655
10VinceV ColemanColemanLF10‌‌‌
1987,STL,151,623,121,180,14,10,3,43,70,126,109,22,.289,.363,.358,.721
10ArlieA LathamLatham3B10‌‌‌
1888,STL,133,570,119,151,19,5,2,31,43,,109,--,.265,.325,.326,.651
12RickeyR HendersonHendersonLF12‌‌‌
1983,OAK,145,513,105,150,25,7,9,48,103,80,108,19,.292,.414,.421,.835
13VinceV ColemanColemanLF13‌‌‌
1986,STL,154,600,94,139,13,8,0,29,60,98,107,14,.232,.301,.280,.581
14TomT BrownBrownX14‌‌‌
1891,BSR,137,589,177,189,30,21,5,72,70,96,106,--,.321,.397,.469,.866
15MauryM WillsWillsSS15‌‌‌
1962,LA,165,695,130,208,13,10,6,48,51,57,104,13,.299,.347,.373,.720
16PeteP BrowningBrowningX16‌‌‌
1887,LOU,134,547,137,220,35,16,4,118,55,,103,--,.402,.464,.547,1.011
16HughH NicolNicolX16‌‌‌
1888,CIN,135,548,112,131,10,2,1,35,67,,103,--,.239,.330,.270,.600
18JimJ FogartyFogartyX18‌‌‌
1887,PHI,126,495,113,129,26,12,8,50,82,44,102,--,.261,.376,.410,.786
18BillyB HamiltonHamiltonX18‌‌‌
1890,PHI,123,496,133,161,13,9,2,49,83,37,102,--,.325,.430,.399,.829
20RickeyR HendersonHendersonLF20‌‌‌
1980,OAK,158,591,111,179,22,4,9,53,117,54,100,26,.303,.420,.399,.819
21JimJ FogartyFogartyX21‌‌‌
1889,PHI,128,499,107,129,15,17,3,54,65,60,99,--,.259,.352,.375,.727
22BillyB HamiltonHamiltonX22‌‌‌
1894,PHI,129,544,192,220,25,15,4,87,126,17,98,--,.404,.523,.528,1.051
23RonR LeFloreLeFloreLF23‌‌‌
1980,MON,139,521,95,134,21,11,4,39,62,99,97,19,.257,.337,.363,.700
23BillyB HamiltonHamiltonX23‌‌‌
1895,PHI,123,517,166,201,22,6,7,74,96,30,97,--,.389,.490,.495,.985
23HarryH StoveyStoveyX23‌‌‌
1890,BSR,118,481,142,144,25,11,12,84,81,38,97,--,.299,.406,.472,.878

1915,DET,156,563,144,208,31,13,3,99,118,43,96,38,.369,.486,.487,.973
1980,PIT,162,676,87,168,20,13,2,36,57,101,96,33,.249,.306,.325,.631
1888,PHA,136,549,125,155,22,8,1,61,33,,95,--,.282,.355,.357,.712
1887,CIN,129,540,137,156,20,19,2,87,55,,95,--,.289,.360,.407,.767
1965,LA,158,650,92,186,14,7,0,33,40,64,94,31,.286,.330,.329,.659
1887,BAL,136,532,142,160,32,13,3,94,55,,94,--,.301,.375,.427,.802
1988,NYY,140,554,118,169,30,2,6,50,82,54,93,13,.305,.394,.399,.793
1888,STL,131,511,107,140,20,3,1,68,38,,93,--,.274,.328,.331,.659
1889,BRO,136,567,146,170,30,11,5,80,61,76,91,--,.300,.384,.418,.802
1983,MON,156,615,133,183,32,8,11,71,97,70,90,14,.298,.393,.429,.822
1889,KC,136,574,137,158,32,6,3,60,64,63,89,--,.275,.358,.368,.726
1887,STL,131,544,98,151,32,7,3,108,25,,89,--,.278,.322,.379,.701
1887,BAL,140,567,101,142,25,8,4,96,46,,88,--,.250,.318,.344,.662
1892,BRO,148,614,109,163,13,3,1,47,82,19,88,--,.265,.355,.301,.656
1912,WAS,154,601,105,184,19,11,1,79,63,,88,--,.306,.377,.379,.756
1887,PHA,135,585,140,155,18,19,4,61,35,,88,--,.265,.317,.381,.698
1891,CIN,135,533,119,145,20,10,7,53,74,35,87,--,.272,.372,.386,.758
1986,NYY,153,608,130,160,31,5,28,74,89,81,87,18,.263,.358,.469,.827
1888,PHA,130,530,127,152,25,20,9,65,62,,87,--,.287,.365,.460,.825
1896,BAL,131,519,148,189,31,19,8,100,91,19,87,--,.364,.469,.543,1.012
1887,CLE,131,534,122,141,19,4,2,53,53,,86,--,.264,.334,.326,.660
1890,BRO,129,510,148,142,32,7,3,69,85,47,85,--,.278,.385,.386,.771
1891,BSR,127,536,134,180,20,8,9,110,61,29,85,--,.336,.408,.453,.861
1887,BAL,136,524,114,144,15,9,6,84,29,,85,--,.275,.347,.372,.719
